date,case,family,start,end,minutes,scope,quality,lines,int,activity,enriched,complete_episode,scope_reason_provisional,timed,in_scope,in_scope_or_review,day_no
2026-08-31,OBS-01,REQ,,,,INCLUDE,VALID,,0.0,Establish or clarify purchasing requirements,True,True,,False,True,True,1
2026-08-31,OBS-01,CLAR,630.0,640.0,10.0,INCLUDE,VALID,1.0,1.0,Establish or clarify purchasing requirements,True,True,,True,True,True,1
2026-08-31,OBS-02,REQ,,,,INCLUDE,VALID,,0.0,Receive and complete a defined purchasing request,True,True,,False,True,True,1
2026-08-31,OBS-02,PO,642.0,644.0,2.0,INCLUDE,VALID,1.0,0.0,"Prepare, amend or release a purchase order",True,True,,True,True,True,1
2026-08-31,OBS-02,SEND,646.0,651.0,5.0,INCLUDE,VALID,1.0,0.0,Send the purchase order to the supplier,True,True,,True,True,True,1
2026-08-31,OBS-03,REQ,,,,INCLUDE,VALID,,0.0,Unresolved activity,True,True,,False,True,True,1
2026-08-31,OBS-03,CLAR,,,,INCLUDE,VALID,,0.0,Unresolved activity,True,True,,False,True,True,1
2026-08-31,OBS-04,REQ,,,,INCLUDE,VALID,,0.0,Receive and complete a defined purchasing request,True,True,,False,True,True,1
2026-08-31,OBS-04,CHECK,652.0,653.0,1.0,INCLUDE,VALID,3.0,0.0,Check and correct an order before release,True,True,,True,True,True,1
2026-08-31,OBS-04,PO,653.0,655.0,2.0,INCLUDE,VALID,1.0,0.0,"Prepare, amend or release a purchase order",True,True,,True,True,True,1
2026-08-31,OBS-04,CHECK,655.0,659.0,4.0,INCLUDE,VALID,3.0,0.0,Check and correct an order before release,True,True,,True,True,True,1
2026-08-31,OBS-04,SEND,,,,INCLUDE,VALID,,0.0,Unresolved activity,True,True,,False,True,True,1
2026-08-31,OBS-05,CHECK,659.0,662.0,3.0,INCLUDE,VALID,3.0,0.0,Unresolved activity,True,True,,True,True,True,1
2026-08-31,OBS-05,EXC,,,,EXCLUDE_EXC,VALID,,0.0,Unresolved activity,True,True,,False,False,False,1
2026-08-31,OBS-06,REQ,,,,INCLUDE,VALID,,0.0,Establish or clarify purchasing requirements,True,True,,False,True,True,1
2026-08-31,OBS-06,CLAR,663.0,664.0,1.0,INCLUDE,VALID,1.0,0.0,Establish or clarify purchasing requirements,True,True,,True,True,True,1
2026-08-31,OBS-06,PO,664.0,668.0,4.0,INCLUDE,VALID,1.0,0.0,"Prepare, amend or release a purchase order",True,True,,True,True,True,1
2026-08-31,OBS-06,SEND,668.0,671.0,3.0,INCLUDE,VALID,,0.0,Send the purchase order to the supplier,True,True,,True,True,True,1
2026-08-31,OBS-07,REQ,,,,INCLUDE,VALID,,0.0,Maintain purchasing master data,True,True,,False,True,True,1
2026-08-31,OBS-07,CLAR,683.0,685.0,2.0,INCLUDE,VALID,1.0,0.0,Maintain purchasing master data,True,True,,True,True,True,1
2026-08-31,OBS-07,OTHER,685.0,689.0,4.0,INCLUDE,VALID,1.0,0.0,Maintain purchasing master data,True,True,,True,True,True,1
2026-08-31,OBS-07,SEND,,,,INCLUDE,VALID,1.0,0.0,Unresolved activity,True,True,,False,True,True,1
2026-08-31,OBS-07,OTHER,689.0,691.0,2.0,INCLUDE,VALID,1.0,0.0,Maintain purchasing master data,True,True,,True,True,True,1
2026-08-31,OBS-07,OTHER,695.0,697.0,2.0,INCLUDE,VALID,1.0,0.0,Maintain purchasing master data,True,True,,True,True,True,1
2026-08-31,OBS-07,CLAR,697.0,699.0,2.0,INCLUDE,VALID,1.0,0.0,Maintain purchasing master data,True,True,,True,True,True,1
2026-08-31,OBS-07,CLAR,699.0,703.0,4.0,INCLUDE,VALID,1.0,1.0,Maintain purchasing master data,True,True,,True,True,True,1
2026-08-31,OBS-04,EXC,711.0,713.0,2.0,EXCLUDE_EXC,VALID,3.0,0.0,Unresolved activity,True,True,,True,False,False,1
2026-08-31,OBS-08,REQ,,,,INCLUDE,VALID,,0.0,Receive and complete a defined purchasing request,True,True,,False,True,True,1
2026-08-31,OBS-08,PO,714.0,715.0,1.0,INCLUDE,VALID,1.0,1.0,"Prepare, amend or release a purchase order",True,True,,True,True,True,1
2026-08-31,OBS-08,SEND,718.0,719.0,1.0,INCLUDE,VALID,,0.0,Send the purchase order to the supplier,True,True,,True,True,True,1
2026-08-31,OBS-09,REQ,,,,INCLUDE,VALID,,0.0,Receive and complete a defined purchasing request,True,True,,False,True,True,1
